title,abstract,introduction,journal,field,main_discipline,main_levels,non_main_levels,pdf_url,status
Decoupling polarization and coercive field in AlScN/AlN/AlScN stack for enhanced performance in ferroelectric thin-film transistors,"AlScN emerges as a promising material for ferroelectric field-effect transistors due to its high coercive field (>6 MV/cm). However, its high remanent polarization (>100 μC/cm2) can degrade memory window and retention, limiting its use in memory applications. This study introduces an AlScN/AlN/AlScN multi-layer designed to decouple the polarization and coercive field, thereby increasing the coercive field while maintaining polarization value. The AlN layer switches ferroelectrically in response to the AlScN layer's switching, even though a single AlN layer is piezoelectric. The lower dielectric constant of AlN compared to AlScN increases the coercive field of the stack, while the AlScN layer primarily determines the polarization. This study shows that increasing the AlN ratio in the multi-layer significantly enhances the memory window and retention performance of ferroelectric thin-film transistors with amorphous indium-gallium-zinc-oxide channels. A maximum memory window of 15 V is achieved, enabling the development of a penta-level cell for next-generation storage. The AlScN/AlN/AlScN multi-layer decouples the polarization-coercive field relationship. Increasing the AlN ratio enhances the memory window and retention in ferroelectric thin-film transistors, demonstrating their potential for memory applications.",,Nature Communications,Engineering|Engineering|Engineering,Unknown,,,https://www.nature.com/articles/s41467-025-62904-6.pdf,
Adaptive-learning physics-assisted light-field microscopy enables day-long and millisecond-scale super-resolution imaging of 3D subcellular dynamics,"Long-term and high-spatiotemporal-resolution 3D imaging of living cells remains an unmet challenge for super-resolution microscopy, owing to the noticeable phototoxicity and limited scanning speed. While emerging light-field microscopy can mitigate this issue through three-dimensionally capturing biological dynamics with merely single snapshot, it suffers from suboptimal resolution insufficient for resolving subcellular structures. Here we propose an Adaptive Learning PHysics-Assisted Light-Field Microscopy (Alpha-LFM) with a physics-assisted deep learning framework and adaptive-tuning strategies capable of light-field reconstruction of diverse subcellular dynamics. Alpha-LFM delivers sub-diffraction-limit spatial resolution (up to ~120 nm) while maintaining high temporal resolution and low phototoxicity. It enables rapid and mild 3D super-resolution imaging of diverse intracellular dynamics at hundreds of volumes per second with exceptional details. Using Alpha-LFM approach, we finely resolve the lysosome-mitochondrial interactions, capture rapid motion of peroxisome and the endoplasmic reticulum at 100 volumes per second, and reveal the variations in mitochondrial fission activity throughout two complete cell cycles of 60 h.",,Nature Communications,"Biochemistry, Genetics and Molecular Biology|Physics and Astronomy|Engineering",[[物理学];[光学]],L1:物理学; L2:光学,L1:生物学; L2:细胞生物学,https://www.nature.com/articles/s41467-025-62471-w.pdf,
Proteomic signature of HIV-associated subclinical left atrial remodeling and incident heart failure,"People living with HIV are at higher risk of heart failure and associated left atrial remodeling compared to people without HIV. Mechanisms are unclear but have been linked to inflammation and premature aging. Here we obtain plasma proteomics concurrently with cardiac magnetic resonance imaging in two independent study populations to identify parallels between HIV-related and aging-related immune dysfunction that could contribute to atrial remodeling and clinical heart failure. We discover a plasma proteomic signature that may in part reflect or contribute to HIV-associated atrial remodeling, many features of which are associated with older age and time to incident heart failure among an independent community-based cohort without HIV. This proteomic profile was statistically enriched for immune checkpoint proteins, tumor necrosis factor signaling, ephrin signaling, and extracellular matrix organization, identifying possible shared pathways in HIV and aging that may contribute to risk of heart failure. Mechanisms underlying excess risk of heart failure among people with HIV are unclear. Here, the authors identify a proteomic signature enriched in immune activation and extracellular matrix remodeling that may reflect shared pathways in HIV and aging that contribute to risk of heart failure.",,Nature Communications,Medicine|Medicine|Medicine,[[临床医学];[内科学]],L1:临床医学; L2:内科学,L1:生物学; L2:分子生物学; L1:预防医学与卫生学; L2:流行病学,https://www.nature.com/articles/s41467-025-55911-0.pdf,
Large-scale serum protein biomarkers discovery associated with function and clinical milestones in Duchenne muscular dystrophy,"Duchenne muscular dystrophy (DMD) is characterized by progressive muscle wasting and weakness. Serum proteins may offer insight into disease processes and clinical decline. This observational study uses the 7 K SomaScan® assay to discover serum proteins associated with muscle function and disease milestones. In total 702 serum samples from 153 male patients, collected across two centers (2009–2022), are analyzed. Using linear mixed effects modelling, we evaluate age and corticosteroid use as covariates affecting protein levels and assess protein correlations with longitudinal clinical function. Here we show 318 aptamers (294 proteins) significantly associated with motor performance across the two sites, with most associations found with lower limb functional tests (NSAA, 10MRW, and 6MWT). Thirty-six proteins are associated with milestones including RGMA, ART3, ANTXR2, and DLK1. These proteins show promise as prognostic biomarkers, and could potentially be used for patient stratification in clinical trial design and for monitoring interventions. Duchenne muscular dystrophy (DMD) is the most common muscular dystrophy. In this study, the authors identified proteins in blood that correlate with disease progression, opening the possibility to monitor disease trajectories using non-invasive blood testing.",,Nature Communications,"Biochemistry, Genetics and Molecular Biology|Neuroscience|Medicine",[[生物学];[生物化学];[分子生物学]],L1:生物学; L2:生物化学; L3:分子生物学; L1:生物化学; L2:多肽与蛋白质生物化学,L1:临床医学; L2:内科学; L3:神经病学; L1:生理学; L2:肌肉生理学,https://www.nature.com/articles/s41467-025-64146-y.pdf,
Evidence for single variant in altermagnetic RuO2(101) thin films,"Altermagnetism presents intriguing possibilities for spintronic devices due to its unique combination of strong spin-splitting and zero net magnetization. However, realizing its full potential hinges on fabricating single-variant altermagnetic thin films. In this work, we present definitive evidence for the formation of single-variant altermagnetic RuO2(101) thin films with fully epitaxial growth on Al2O3(1-102) r-plane substrates, confirmed through rigorous structural analyses using X-ray diffraction, atomic-resolution transmission electron microscopy and X-ray magnetic linear dichroism. The mutual correspondence of the occupancy of oxygen atoms on the surfaces of RuO2(101)[010] and Al2O3(1-102)[11-20] plays a decisive role in the formation of the single-variant RuO2, which is also supported by our first-principles density functional theory calculations. We further observed spin-splitting magnetoresistance in the single-variant RuO2(101)/CoFeB bilayers, highlighting the characteristic effect of single variant on spin transport. The demonstration of single-variant RuO2(101) films marks a significant advancement in the field of altermagnetism and paves the way for exploring their potential applications.",,Nature Communications,Physics and Astronomy|Materials Science|Materials Science,Unknown,,,https://www.nature.com/articles/s41467-025-63344-y.pdf,
Doping with phosphorus reduces anion vacancy disorder in CdSeTe semiconductors enabling higher solar cell efficiency,"Doping is used in many pn junction devices, such as polycrystalline solar cells, to increase the strength of the junction field to assist charge carrier collection and thus partially mitigate nonradiative recombination losses. We demonstrate a different doping characteristic for inorganic solar cells: using dopants to reduce charge carrier trapping and electronic band tails. Alloying CdTe with Se to form CdSeTe semiconductor reduced recombination, but CdSeTe has more complex defect states which can limit further efficiency gains due to charge carrier trapping and trap-limited mobility. Doping CdSeTe with P (but not N, As, or Sb in this study) reduces band tails (Urbach energies) and lessens the impact of the near valence band trap states, with ambipolar mobilities improving to >50 cm2V−1s−1, fill factor increasing from 76% to 79%, and efficiencies increasing by 0.9% absolute. Simulations are used to show how such defect reduction improves performance in the radiative limit. Doping is used in p-n junction devices to partially mitigate nonradiative recombination losses. Here, authors use phosphorus dopants to reduce charge carrier trapping and electronic band tails in polycrystalline CdSeTe, achieving improved ambipolar mobilities, fill factor and solar cell efficiency.",,Nature Communications,Engineering|Materials Science|Engineering,[[材料科学];[材料科学基础学科]],L1:材料科学; L2:材料科学基础学科,L1:物理学; L2:凝聚态物理学,https://www.nature.com/articles/s41467-025-63589-7.pdf,
Leveraging neonatal Fc receptor (FcRn) to enhance antibody transport across the blood brain barrier,"The blood-brain barrier (BBB) restricts efficient penetration of systemically delivered therapeutic antibodies into the brain, limiting the development of this class of drugs to treat neurodegenerative diseases. Here we demonstrate that the neonatal Fc receptor (FcRn), which is highly expressed at the BBB, can be used to facilitate IgG transport to the brain. Engineering of the antibody Fc region to promote binding to FcRn at neutral pH enhances antibody transcytosis in a cellular model. In vivo, these modifications improve brain penetration, as well as brain target engagement and activity, of systemically administered antibodies in both mice and non-human primates. This engineering approach can be broadly implemented to enhance central nervous system (CNS) exposure of antibody- and Fc-based drugs, improving the clinical potential of biotherapeutics for the treatment of human brain diseases.",,Nature Communications,"Medicine|Biochemistry, Genetics and Molecular Biology|Biochemistry, Genetics and Molecular Biology",[[生物学];[生物物理学];[生物化学]],L1:生物学; L2:生物物理学; L3:生物化学; L1:生物化学; L2:酶学; L1:多肽与蛋白质生物化学,L1:药学; L2:药物化学; L3:生物药物学; L1:神经生物学; L2:神经生物化学; L1:免疫生物化学; L1:膜生物化学,https://www.nature.com/articles/s41467-025-59447-1.pdf,
Reconfigurable non-Abelian integrated photonics,"Current integrated photonics typically utilizes the dynamical phase associated resonant on-chip components, leading to bandwidth-limited devices with perturbation-sensitive performance. Multi-mode geometric phase matrix, arising from the non-Abelian holonomy which is a non-resonant and global effect, has been recently introduced to integrated photonics for the design of broadband and robust on-chip photonic devices. Achieving reconfigurable on-chip non-Abelian photonic devices is a crucial step towards practical applications, which however remains elusive. Here, we propose a universal approach by employing the thermo-optic effect to tune the system's Hamiltonian and thus the holonomy induced geometric phase matrix. We implement this concept in double-layered polymer integrated platforms, experimentally demonstrating a four-mode non-Abelian braiding device comprising six sets of tunable two-mode braiding building blocks. Through modulations, the device can be reconfigured to generate up to 24 unitary matrices belonging to the braid group B4. Our work paves the way for non-Abelian integrated photonics towards abundant applications.",,Nature Communications,Computer Science|Engineering|Engineering,Unknown,,,https://www.nature.com/articles/s41467-025-62481-8.pdf,
A graph homomorphism approach for unraveling histories of metastatic cancers and viral outbreaks under evolutionary constraints,"Viral infections and cancers are driven by evolution of populations of highly mutable genomic variants. A key evolutionary process in these populations is their migration or spread via transmission or metastasis. Understanding this process is crucial for research, clinical practice, and public health, yet tracing spread pathways is challenging. Phylogenetics offers the main methodological framework for this problem, with challenges including determining the conditions when a phylogenetic tree reflects the underlying migration tree structure, and balancing computational efficiency, flexibility, and biological realism. We tackle these challenges using the powerful machinery of graph homomorphisms, a mathematical concept describing how one graph can be mapped onto another while preserving its structure. We focus on metastatic migrations and viral host-to-host transmissions in outbreak settings. We investigate how structural constraints on migration patterns influence the relationship between phylogenetic and migration trees and propose algorithms to evaluate trees consistency under varying conditions. Leveraging our findings, we introduce a framework for inferring transmission/migration trees by sampling potential solutions from a prior random tree distribution and identifying a subsample consistent with a given phylogeny. By varying the prior distribution, this approach generalizes several existing models, offering a versatile strategy applicable in diverse settings.",,Nature Communications,"Biochemistry, Genetics and Molecular Biology|Biochemistry, Genetics and Molecular Biology|Biochemistry, Genetics and Molecular Biology",[[生物学];[生物数学];[生物进化论]],L1:生物学; L2:生物数学; L3:生物进化论,L1:数学; L2:代数学; L3:离散数学,https://www.nature.com/articles/s41467-025-63411-4.pdf,
Covariant spatio-temporal receptive fields for spiking neural networks,"Abstract Biological nervous systems constitute important sources of inspiration towards computers that are faster, cheaper, and more energy efficient. Neuromorphic disciplines view the brain as a coevolved system, simultaneously optimizing the hardware and the algorithms running on it. There are clear efficiency gains when bringing the computations into a physical substrate, but we presently lack theories to guide efficient implementations. Here, we present a principled computational model for neuromorphic systems in terms of spatio-temporal receptive fields, based on affine Gaussian kernels over space and leaky-integrator and leaky integrate-and-fire models over time. Our theory is provably covariant to spatial affine and temporal scaling transformations, with close similarities to visual processing in mammalian brains. We use these spatio-temporal receptive fields as a prior in an event-based vision task, and show that this improves the training of spiking networks, which is otherwise known to be problematic for event-based vision. This work combines efforts within scale-space theory and computational neuroscience to identify theoretically well-founded ways to process spatio-temporal signals in neuromorphic systems. Our contributions are immediately relevant for signal processing and event-based vision, and can be extended to other processing tasks over space and time, such as memory and control.",,Nature Communications,Engineering|Neuroscience|Computer Science,[[生物学];[神经生物学]],L1:生物学; L2:神经生物学; L1:系统神经生物学,L1:计算机科学技术; L2:人工智能; L1:神经生物物理学,https://www.nature.com/articles/s41467-025-63493-0.pdf,
Surface darkening by abundant and diverse algae on an Antarctic ice cap,"Abstract Algal blooms play important roles in physical and biological processes on glacial surfaces. Despite this, their occurrence and impacts within an Antarctic context remain understudied. Here, we present evidence of the large-scale presence, diversity and bioalbedo effects of algal blooms on Antarctic ice cap systems based on fieldwork conducted on Robert Island (South Shetland Islands, Antarctica). Algal blooms are observed covering up to 2.7 km 2 (~20%) of the measured area of the Robert Island ice cap, with cell densities of up to 1.4 × 10 6 cells ml −1 . Spectral characterisation reveal that these blooms increase melting of the ice cap surface, contributing up to 2.4% of total melt under the observed conditions. Blooms are composed of typical cryoflora taxa, dominated by co-occurring Chlorophyceae, Trebouxiophyceae, and Ancylonema . However, morphological variation and genetic diversity in Ancylonema highlight the influence of regional endemism and point to a large and under-characterised diversity in Antarctic cryoflora.",,Nature Communications,Environmental Science|Earth and Planetary Sciences|Agricultural and Biological Sciences,[[地球科学];[地理学];[冰川学]],L1:地球科学; L2:地理学; L3:冰川学; L1:地理学; L2:自然地理学,L1:生物学; L2:生态学; L3:微生物学; L1:海洋科学; L2:海洋生物学,https://www.nature.com/articles/s41467-025-57725-6.pdf,
Inhibition of polymorphonuclear cells averts cytotoxicity against hypoimmune cells in xenotransplantation,"Abstract Allogeneic, immune-evasive hypoimmune (HIP) cell therapeutics that are HLA-depleted and overexpress CD47 create the opportunity to treat immunocompetent patients with cancer, degenerative, or autoimmune diseases. However, HIP cell therapy has not yet been established for xenotransplantation. Here we engineer, for human-to-non-human primate studies, human HIP* endothelial cells (EC) that are HLA-depleted and express macaque CD47 to allow compatibility with the macaque SIRPα immune checkpoint. Although no T cell, NK cell, or macrophage responses and no antibody-dependent cytotoxicity is observed in cynomolgus recipients, we reveal that macaque polymorphonuclear cells (PMN) show strong xenogeneic cytotoxicity against HIP* ECs. Inhibition of PMN killing using a multi-drug regimen leads to improved xenogeneic human HIP* EC survival in cynomolgus monkeys. Similarly, human PMNs show xenoreactivity against pig ECs, which has implications for clinical xenotransplantation. Accordingly, our engineered pig HIP* ECs that are SLA-depleted, overexpress human CD47, and additionally overexpress the PMN-inhibitory ligands CD99 and CD200, are protected against all human adaptive and innate cytotoxicity, including PMNs. In summary, specific targeting of PMN-mediated killing of the transplanted cells might improve outcomes for clinical pig-to-human xenotransplantation.",,Nature Communications,Medicine|Immunology and Microbiology|Immunology and Microbiology,[[生物学];[细胞生物学];[生物工程]],L1:生物学; L2:细胞生物学; L3:生物工程; L1:细胞生物学; L2:细胞生理学,L1:基础医学; L2:人体免疫学; L3:医学微生物学; L1:临床医学; L2:外科学; L3:肿瘤学; L1:免疫学; L2:免疫生物化学; L1:生理学; L2:循环生理学,https://www.nature.com/articles/s41467-025-58774-7.pdf,
Physical and chemical niche of human growth plate for polarized bone development,"Growth plate (GP), a critical cartilaginous structure in amniotes, underpins longitudinal bone growth, yet the intricate mechanisms behind its polarized mineralization during evolution remain unclear. Herein, employing high-resolution analytical techniques, we reveal that the GP-epiphysis interface displays a sharp transition in tissue modulus, acting as a protective shell for the underlying GP, whereas the GP-metaphysis interface exhibits a gradual modulus increase, enabling efficient load redistribution to the metaphysis. This mechanical microenvironment contributes to unique microstructural and compositional transformations from GP to epiphysis and metaphysis. Notably, the GP-epiphysis interface acts as a mineralization inhibition zone while the GP-metaphysis serves as a mineralization promotion zone, orchestrated by a complex network of proteins. Proteins such as secreted phosphoprotein 1 (SPP1) and alpha-2-HS-glycoprotein (AHSG) at the GP-epiphysis interface inhibit mineralization, forming a defense line; while ectonucleotide pyrophosphatase/phosphodiesterase 1 (ENPP1) and alkaline phosphatase, biomineralization associated (ALPL), coexisting with SPP1 and AHSG, promote a sequential nucleation and assembly of calcium phosphate minerals at the GP-metaphysis. Such polarized mineralization patterns maintain the homeostasis of GPs and drive polarized bone elongation. Replicating this process in vitro, we synthesize stable amorphous calcium phosphate which shows highly controlled transformation into hydroxyapatite. This work provides a more comprehensive view of the structural integrity of human bone in development and offers strategies for controlled biomineralization. Here the authors show that the growth plate (GP)-epiphysis interface possesses a strong modulus transition and acts as a mineralization inhibition zone, while the GP-metaphysis interface has a gradual transition and stimulates bone formation. They also identify proteins at these boundaries which inhibit or promote bone mineralization.",,Nature Communications,Materials Science|Engineering|Medicine,[[生物物理学]],L1:生物物理学; L1:生物力学,L1:生物化学; L1:生理学; L1:发育生物学; L1:分子生物物理学,https://www.nature.com/articles/s41467-025-62711-z.pdf,
Randomized phase I trial outcomes show safe and sustainable inhibition of classical and lectin complement pathways by empasiprubart,"Activation of classical and lectin complement pathways contributes to several human diseases. Empasiprubart is a humanized recycling monoclonal antibody that inhibits both pathways by binding to the CCP2 domain of complement factor 2 (C2), an interaction that is dependent on both Ca2+ and pH. Here, we resolve the crystal structure of empasiprubart complexed with C2, providing the molecular basis of its Ca2+ dependency, and report a randomized, double-blind, placebo-controlled trial to assess the safety and tolerability (primary objectives) in addition to pharmacokinetics, pharmacodynamics, and immunogenicity (secondary objectives) of empasiprubart in 78 healthy participants (NCT04532125). A single intravenous (IV) dose of empasiprubart reduces circulating C2 levels by up to 99% and dose-dependently inhibits the classical and lectin pathways. Multiple IV empasiprubart doses reinforce reductions in free C2 levels, which persist until the endpoint of the study at 41 weeks. This prolonged reduction is in line with the empasiprubart elimination half-life (70-88 days). Single and multiple ascending doses of empasiprubart are generally safe and well tolerated. Overall, our results reveal in atomic detail the mechanism of empasiprubart and demonstrate that it is a first-in-class anti-C2 therapeutic antibody for use in complement-mediated diseases.",,Nature Communications,Immunology and Microbiology|Medicine|Immunology and Microbiology,[[基础医学];[人体免疫学];[医学微生物学]],L1:基础医学; L2:人体免疫学; L3:医学微生物学; L1:药理学,L1:药学; L2:药物化学; L3:生物药物学; L1:医学生物化学; L1:人体免疫学,https://www.nature.com/articles/s41467-025-62925-1.pdf,
Time-resolved chemically-selective spectroscopic investigation of the redox reaction between hematite and aluminium,"Thermite reactions -highly energetic redox processes between a metal and an oxide-are used in welding, propulsion, and the fabrication of advanced materials. When reduced to the nanoscale, these reactions exhibit enhanced energetic performance, but their ultrafast dynamics remain poorly understood. Gaining insight into charge transfer during these processes is essential for advancing applications in energy conversion and materials design. Here we show that the reaction between aluminium and hematite, a common iron oxide, can be tracked with femtosecond resolution using extreme ultraviolet (EUV) time-resolved absorption spectroscopy at the Fe M2,3 and Al L2,3 edges. By exciting the system with an ultrashort optical pulse and probing element-specific absorption changes, we observe an early spectral shift that reveals the formation of localized charge carriers (polarons). Comparing samples with different supporting substrates highlights ultrafast electron transfer from aluminium to hematite. These results demonstrate an approach to investigating charge flow in energetic materials and provide a basis for studying fast chemical reactions with chemical specificity.",,Nature Communications,Energy|Engineering|Environmental Science,[[化学];[物理化学];[化学物理学]],L1:化学; L2:物理化学; L3:化学物理学; L1:物理化学; L2:化学动力学,L1:物理学; L2:凝聚态物理学; L1:无机化学,https://www.nature.com/articles/s41467-025-62436-z.pdf,
Flexible metal-organic framework films for reversible low-pressure carbon capture and release,"Transitioning metal-organic frameworks (MOFs) from laboratory-scale to carbon dioxide (CO2) capture and storage applications (CCS) requires in-depth understanding of their adsorption properties and structural stability, especially for film assemblies. However, evaluating their performance is challenging, particularly under low or moderate CO2 pressure conditions, which are key for cost and performance efficiency. Herein, we explore the low-pressure CO2 uptake and release within flexible Zn-based MOF film structures with diverse ligand functionalities, employing quartz crystal microbalance, synchrotron radiation-based infrared spectromicroscopy and grazing incidence wide-angle X-ray scattering measurements. To investigate CO2 adsorption and its interaction with Zn-MOF pores, we exploited the framework's flexibility by triggering structural changes and thus variations of the pore-environment using two stimuli, temperature and light. Results show considerable promise for stimuli-induced on-demand CO2 capture and release at low pressures, demonstrating structural reversibility under near-ambient conditions and highlighting the potential of tailored MOF film structures in advancing green CCS-technologies.",,Nature Communications,Chemistry|Materials Science|Engineering,[[化学];[物理化学]],L1:化学; L2:物理化学; L1:无机化学; L2:配位化学,L1:材料科学; L2:材料科学基础学科; L1:物理化学; L2:结构化学,https://www.nature.com/articles/s41467-025-60027-6.pdf,
Dual-mode narrowband organic photodetectors for self-aligned imaging in NIR-I and NIR-II,"The ability to detect and image in the near-infrared (NIR) regions, specifically NIR-I (700-900 nm) and NIR-II (1000-1700 nm), is crucial for medical diagnostics and bioimaging due to their exceptional tissue penetration and absorption characteristics. Organic photodetectors (OPDs) present a promising solution for self-aligned imaging in these regions, due to their tunable optoelectronic properties and flexible fabrication processes. However, achieving high-performance dual-mode narrowband OPDs for NIR-I and NIR-II detection remains a significant challenge due to the inherently broadband nature of most organic semiconductor materials. In this study, we introduce a bias-switchable dual-mode narrowband OPD with a back-to-back stacked charge collection narrowing/photodiode-type double bulk heterojunction (BHJ) architecture. The dual-mode narrowband OPD exhibits excellent wavelength selectivity and enhanced imaging capabilities, facilitating self-aligned imaging in both NIR-I and NIR-II regions. Additionally, the double BHJ architecture provides design flexibility, allowing for the realization of dual-mode narrowband responses through various BHJ configurations.",,Nature Communications,Engineering|Engineering|Materials Science,[[材料科学];[有机高分子材料]],L1:材料科学; L2:有机高分子材料,L1:物理学; L2:光学,https://www.nature.com/articles/s41467-025-62394-6.pdf,
Tiantan vaccinia virus-based vaccine with promising safety provides sustained protection against mpox in non-human primates,"The World Health Organization (WHO) has declared the mpox outbreak a public health emergency of international concern (PHEIC). Safe and efficient vaccines against the mpox virus (MPXV) are urgently needed to impede the surge in cases. Here, we report the results of a preclinical study employing different dosing strategies on a vaccine candidate named NTV, obtained via targeted gene deletion in the Tiantan strain vaccinia virus, resulting in a replication-deficient variant. Following optimisation of the NTV immunization dose and confirmation of its protective efficacy against MPXV in a mouse model, we demonstrate that a two-shot NTV regimen in macaques elicits significant neutralizing antibody and cellular immune responses, providing efficient protection against MPXV challenge. Notably, we find that a single NTV dose or long-term immunization in macaques offer effective protection against moderate or severe mpox disease by enhancing cellular immunity and rapidly evoking neutralizing antibodies. These results demonstrate the vaccine's potential for emergency use and for long-lasting protection. Safety evaluations show no adverse effects in macaques receiving triple the standard dosage in three consecutive injections. These findings highlight the potential of the NTV vaccine candidate with key advantages, including robust immunogenicity, sustained protective efficacy, and safety in preclinical settings.",,Nature Communications,"Immunology and Microbiology|Medicine|Biochemistry, Genetics and Molecular Biology",[[分子病毒学]],L1:分子病毒学,L1:病毒生物化学,https://www.nature.com/articles/s41467-025-62594-0.pdf,
Global dissemination of npmA mediated pan-aminoglycoside resistance via a mobile genetic element in Gram-positive bacteria,"The npmA gene, encoding a 16S rRNA methyltransferase, confers resistance to all clinically available aminoglycosides, posing a significant threat to effective antibiotic therapy. We analyze 1,932,812 bacterial genomes to investigate the distribution and mobilization of npmA variants. npmA is not found in Gram-negative bacteria, where it was originally described, but is identified among Gram-positive bacteria, predominantly as the npmA2 variant in the globally distributed Clostridioides difficile ST11 lineage. We also detect npmA2 in two vancomycin-resistant Enterococcus faecium isolates from a Dutch hospital. Upon sequencing and phenotypic analysis, we determine that E. faecium isolates are pan-resistant to aminoglycosides. Genomic characterization links npmA2 to a composite transposon, Tn7734, which is integrated within a previously uncharacterized Integrative and Conjugative Element (ICE) Tn7740, present in both npmA2-carrying C. difficile and E. faecium clinical isolates. Tn7740-like, but not npmA2, appears across diverse taxa, including human microbiome members. Here, we show that Tn7740 likely facilitates cross-species npmA2 mobilization between these Gram-positive bacteria and emphasize the risk of mobile genetic elements transferring pan-aminoglycoside resistance between clinically important bacterial pathogens.",,Nature Communications,"Medicine|Medicine|Biochemistry, Genetics and Molecular Biology",Unknown,,,https://www.nature.com/articles/s41467-025-61152-y.pdf,
AI-guided patient stratification improves outcomes and efficiency in the AMARANTH Alzheimer’s Disease clinical trial,"Abstract Alzheimer’s Disease (AD) drug discovery has been hampered by patient heterogeneity, and the lack of sensitive tools for precise stratification. Here, we demonstrate that our robust and interpretable AI-guided tool (predictive prognostic model, PPM) enhances precision in patient stratification, improving outcomes and decreasing sample size for a AD clinical trial. The AMARANTH trial of lanabecestat, a BACE1 inhibitor, was deemed futile, as treatment did not change cognitive outcomes, despite reducing β-amyloid. Employing the PPM, we re-stratify patients precisely using baseline data and demonstrate significant treatment effects; that is, 46% slowing of cognitive decline for slow progressive patients at earlier stages of neurodegeneration. In contrast, rapid progressive patients did not show significant change in cognitive outcomes. Our results provide evidence for AI-guided patient stratification that is more precise than standard patient selection approaches (e.g. β-amyloid positivity) and has strong potential to enhance efficiency and efficacy of future AD trials.",,Nature Communications,Medicine|Neuroscience|Medicine,[[临床医学];[神经病学]],L1:临床医学; L2:神经病学,L1:计算机科学技术; L2:人工智能,https://www.nature.com/articles/s41467-025-61355-3.pdf,
High-throughput micro-scale bandgap mapping for perovskite-inspired materials with complex composition space,"To realize the full promise of high-throughput experimental workflows, the rate of sample synthesis must be matched by that of characterization. Of growing interest are contactless optical techniques that can rapidly measure material homogeneity and properties. Here, we present a hyperspectral imaging method to measure local optical bandgap distributions within samples, utilizing spatially-resolved reflectance spectra coupled with automated data analysis. We collect approximately one million optical bandgap data across the compositional space of Cs3(BixSb1-x)2(BryI1-y)9 perovskite-inspired materials. Our results show non-monotonic bandgap variations (i.e., bandgap bowing) along six composition gradient sequences, in addition to identifying samples with multiple bandgaps in statistics. High-throughput transient absorption spectroscopy reveals that within these compositions, the depletion of the ground state carriers to excited states occurred at discrete energy levels with independent carrier dynamics, consistent with the bandgap observation and indicative of phase separation. This work demonstrates the potential for rapid optical measurements to assess material quality and homogeneity in a high-throughput experimental setting, supporting screening and recipe optimization of optoelectronic material candidates with desired carrier dynamics and optical properties.",,Nature Communications,Engineering|Materials Science|Engineering,[[材料科学];[材料科学基础学科];[材料检测与分析技术]],L1:材料科学; L2:材料科学基础学科; L3:材料检测与分析技术,L1:物理学; L2:光学; L3:应用物理学,https://www.nature.com/articles/s41467-025-62774-y.pdf,
Programmable epigenome editing by transient delivery of CRISPR epigenome editor ribonucleoproteins,"Abstract Programmable epigenome editors modify gene expression in mammalian cells by altering the local chromatin environment at target loci without inducing DNA breaks. However, the large size of CRISPR-based epigenome editors poses a challenge to their broad use in biomedical research and as future therapies. Here, we present Robust ENveloped Delivery of Epigenome-editor Ribonucleoproteins (RENDER) for transiently delivering programmable epigenetic repressors (CRISPRi, DNMT3A-3L-dCas9, CRISPRoff) and activator (TET1-dCas9) as ribonucleoprotein complexes into human cells to modulate gene expression. After rational engineering, we show that RENDER induces durable epigenetic silencing of endogenous genes across various human cell types, including primary T cells. Additionally, we apply RENDER to epigenetically repress endogenous genes in human stem cell-derived neurons, including the reduction of the neurodegenerative disease associated V337M-mutated Tau protein. Together, our RENDER platform advances the delivery of CRISPR-based epigenome editors into human cells, broadening the use of epigenome editing in fundamental research and therapeutic applications.",,Nature Communications,"Biochemistry, Genetics and Molecular Biology|Immunology and Microbiology|Medicine",[[生物工程];[基因工程]],L1:生物工程; L2:基因工程; L1:核酸生物化学,L1:生物化学; L2:酶学; L1:细胞生物学; L2:细胞生理学; L1:遗传学; L2:分子遗传学; L1:多肽与蛋白质生物化学,https://www.nature.com/articles/s41467-025-63167-x.pdf,
